episode,reward,game_score,lines,moves,epsilon,avg_reward_25,avg_game_score_25,avg_lines_25,avg_moves_25
81,-598.3000000000002,100,1,35,0.78398512608332,-581.88,12,0.12,28.48
82,-575.9,0,0,27,0.7816331707050701,-584.048,12,0.12,28.44
83,-659.8,0,0,31,0.7792882711929549,-591.02,8,0.08,28.6
84,-652.8,0,0,32,0.776950406379376,-594.044,8,0.08,28.72
85,-652.1999999999999,0,0,29,0.7746195551602378,-601.588,8,0.08,28.88
86,-594.3999999999999,0,0,30,0.7722956964947572,-596.9639999999999,8,0.08,28.84
87,-560.3000000000001,0,0,31,0.7699788094052729,-595.896,8,0.08,28.96
88,-530.0,0,0,30,0.767668872977057,-593.676,8,0.08,28.88
89,-498.4,0,0,29,0.7653658663581259,-592.24,8,0.08,29.04
90,-556.9,0,0,22,0.7630697687590515,-590.636,8,0.08,28.8
91,-605.8000000000001,0,0,30,0.7607805594527743,-594.372,8,0.08,29.04
92,-707.7999999999998,0,0,27,0.7584982177744161,-599.532,8,0.08,29.04
93,-529.2,0,0,27,0.7562227231210928,-600.652,8,0.08,29.12
94,-579.0,0,0,25,0.7539540549517295,-597.596,8,0.08,28.96
95,-547.4,100,1,27,0.7516921927868743,-591.58,8,0.08,28.84
96,-560.6999999999999,200,2,33,0.7494371162085136,-592.304,16,0.16,29.04
97,-583.1,0,0,28,0.747188804859888,-591.596,16,0.16,28.8
98,-688.4,0,0,31,0.7449472384453084,-590.356,16,0.16,28.84
99,-564.8,0,0,27,0.7427123967299725,-593.704,16,0.16,28.88
100,-514.0,0,0,29,0.7404842595397826,-591.804,16,0.16,29
101,-603.4999999999999,0,0,28,0.7382628067611632,-590.584,16,0.16,28.84
102,-582.1999999999999,0,0,23,0.7360480183408797,-592.792,16,0.16,28.72
103,-621.5,0,0,27,0.7338398742858571,-592.208,16,0.16,28.6
104,-615.9000000000001,0,0,32,0.7316383546629995,-592.72,16,0.16,28.8
105,-686.3,0,0,35,0.7294434395990105,-594.744,16,0.16,29
106,-742.9999999999999,200,2,26,0.7272551092802134,-600.5319999999999,20,0.2,28.64
107,-553.9,100,1,33,0.7250733439523728,-599.6519999999999,24,0.24,28.88
108,-622.1000000000001,0,0,27,0.7228981239205157,-598.144,24,0.24,28.72
109,-608.9,100,1,37,0.7207294295487541,-596.388,28,0.28,28.92
110,-552.4,0,0,29,0.7185672412601078,-592.396,28,0.28,28.92
111,-590.9999999999999,0,0,26,0.7164115395363275,-592.26,28,0.28,28.76
112,-551.2,100,1,30,0.7142623049177186,-591.896,32,0.32,28.72
113,-776.8,100,1,28,0.7121195180029655,-601.768,36,0.36,28.64
114,-711.8000000000001,200,2,31,0.7099831594489566,-610.304,44,0.44,28.72
115,-620.4,300,3,36,0.7078532099706097,-612.8439999999999,56,0.56,29.28
116,-579.0999999999999,0,0,23,0.7057296503406979,-611.776,56,0.56,29
117,-618.0,0,0,30,0.7036124613896758,-608.184,56,0.56,29.12
118,-455.8,0,0,23,0.7015016240055068,-605.2479999999999,56,0.56,28.96
119,-415.0,0,0,20,0.6993971191334902,-598.688,56,0.56,28.76
120,-564.5999999999999,0,0,30,0.6972989277760897,-599.376,52,0.52,28.88
121,-476.29999999999995,100,1,25,0.6952070309927615,-596.0,48,0.48,28.56
122,-651.1999999999999,0,0,31,0.6931214098997832,-598.7239999999999,48,0.48,28.68
123,-525.7,100,1,24,0.6910420456700839,-592.216,52,0.52,28.4
124,-498.1,100,1,28,0.6889689195330736,-589.548,56,0.56,28.44
125,-572.4,0,0,29,0.6869020127744744,-591.884,56,0.56,28.44
126,-444.5,0,0,26,0.684841306736151,-585.524,56,0.56,28.36
127,-626.1,0,0,33,0.6827867828159425,-587.28,56,0.56,28.76
128,-575.0999999999999,0,0,24,0.6807384224674947,-585.424,56,0.56,28.64
129,-499.4,200,2,33,0.6786962072000923,-580.764,64,0.64,28.68
130,-562.3000000000001,0,0,31,0.676660118578492,-575.804,64,0.64,28.52
131,-608.9,0,0,26,0.6746301382227565,-570.4399999999999,56,0.56,28.52
132,-593.0000000000001,300,3,37,0.6726062478080883,-572.004,64,0.64,28.68
133,-647.4,0,0,31,0.6705884290646641,-573.016,64,0.64,28.84
134,-503.00000000000006,100,1,31,0.66857666377747,-568.78,64,0.64,28.6
135,-539.4000000000001,100,1,27,0.6665709337861376,-568.26,68,0.68,28.52
136,-543.6999999999999,0,0,29,0.6645712209847792,-566.368,68,0.68,28.64
137,-628.4,0,0,28,0.6625775073218249,-569.456,64,0.64,28.56
138,-601.5000000000001,0,0,29,0.6605897747998594,-562.444,60,0.6,28.6
139,-565.6999999999999,0,0,20,0.6586080054754598,-556.6,52,0.52,28.16
140,-656.1,200,2,34,0.6566321814590335,-558.028,48,0.48,28.08
141,-508.8,100,1,27,0.6546622849146564,-555.216,52,0.52,28.24
142,-619.8000000000001,400,2,34,0.6526982980599124,-555.288,68,0.6,28.4
143,-504.79999999999995,200,2,34,0.6507402031657327,-557.248,76,0.68,28.84
144,-573.7,0,0,31,0.6487879825562355,-563.596,76,0.68,29.28
145,-550.6,0,0,24,0.6468416186085668,-563.0360000000001,76,0.68,29.04
146,-559.2,0,0,27,0.6449010937527411,-566.352,72,0.64,29.12
147,-539.0000000000001,0,0,27,0.6429663904714829,-561.864,72,0.64,28.96
148,-569.9,0,0,32,0.6410374913000684,-563.6320000000001,68,0.6,29.28
149,-536.9000000000001,200,2,37,0.6391143788261682,-565.184,72,0.64,29.64
150,-782.3000000000001,300,3,36,0.6371970356896897,-573.58,84,0.76,29.92
151,-451.20000000000005,0,0,23,0.6352854445826206,-573.8480000000001,84,0.76,29.8
152,-646.4,400,2,35,0.6333795882488727,-574.66,100,0.84,29.88
153,-613.6999999999999,0,0,30,0.6314794494841262,-576.2040000000001,100,0.84,30.12
154,-577.3000000000001,0,0,31,0.6295850111356738,-579.32,92,0.76,30.04
155,-552.3000000000001,0,0,28,0.6276962561022668,-578.9200000000001,92,0.76,29.92
156,-570.4000000000001,0,0,28,0.62581316733396,-577.38,92,0.76,30
157,-518.1000000000001,0,0,35,0.623935727831958,-574.384,80,0.64,29.92
158,-740.8,200,2,33,0.6220639206484622,-578.12,88,0.72,30
159,-684.0,100,1,34,0.6201977288865168,-585.36,88,0.72,30.12
160,-686.2,100,1,37,0.6183371356998573,-591.232,88,0.72,30.52
161,-428.6,0,0,26,0.6164821242927577,-586.628,88,0.72,30.4
162,-410.0,100,1,24,0.6146326779198794,-577.892,92,0.76,30.24
163,-552.8000000000001,200,2,36,0.6127887798861198,-575.9440000000001,100,0.84,30.52
164,-441.5,0,0,25,0.6109504135464614,-570.976,100,0.84,30.72
165,-582.4999999999999,100,1,32,0.609117562305822,-568.032,96,0.8,30.64
166,-561.1999999999999,100,1,37,0.6072902096189046,-570.128,96,0.8,31.04
167,-458.59999999999997,100,1,27,0.6054683389900478,-563.6800000000001,84,0.76,30.76
168,-516.3,0,0,28,0.6036519339730777,-564.14,76,0.68,30.52
169,-587.0999999999999,0,0,30,0.6018409781711584,-564.676,76,0.68,30.48
170,-598.1999999999999,0,0,27,0.6000354552366449,-566.58,76,0.68,30.6
171,-618.6,0,0,30,0.598235348870935,-568.956,76,0.68,30.72
172,-603.4,200,2,41,0.5964406428243222,-571.532,84,0.76,31.28
173,-340.7,0,0,18,0.5946513208958493,-562.364,84,0.76,30.72
174,-489.7,200,2,33,0.5928673669331617,-560.476,84,0.76,30.56
175,-598.1999999999999,0,0,26,0.5910887648323622,-553.112,72,0.64,30.16
176,-627.3,100,1,35,0.5893154985378651,-560.156,76,0.68,30.64
177,-475.4000000000001,0,0,32,0.5875475520422515,-553.316,60,0.6,30.52
178,-577.1999999999999,0,0,24,0.5857849093861247,-551.856,60,0.6,30.28
179,-524.2,100,1,29,0.5840275546579663,-549.732,64,0.64,30.2
180,-566.6,100,1,34,0.5822754719939924,-550.304,68,0.68,30.44
181,-596.4000000000001,0,0,30,0.5805286455780104,-551.344,68,0.68,30.52
182,-515.9000000000001,200,2,31,0.5787870596412764,-551.256,76,0.76,30.36
183,-612.1999999999999,100,1,35,0.5770506984623526,-546.112,72,0.72,30.44
184,-550.6999999999999,100,1,31,0.5753195463669655,-540.78,72,0.72,30.32
185,-463.6,100,1,35,0.5735935877278646,-531.876,72,0.72,30.24
186,-485.99999999999994,0,0,30,0.571872806964681,-534.172,72,0.72,30.4
187,-491.50000000000006,100,1,32,0.5701571885437869,-537.432,72,0.72,30.72
188,-569.0999999999999,0,0,24,0.5684467169781556,-538.084,64,0.64,30.24
189,-566.0999999999999,0,0,32,0.5667413768272211,-543.068,64,0.64,30.52
190,-583.6999999999999,0,0,30,0.5650411526967395,-543.116,60,0.6,30.44
191,-453.4,0,0,28,0.5633460292386493,-538.804,56,0.56,30.08
192,-529.3,300,3,31,0.5616559911509333,-541.632,64,0.64,30.24
193,-600.8,0,0,27,0.5599710231774805,-545.012,64,0.64,30.2
194,-545.9,0,0,28,0.5582911101079481,-543.364,64,0.64,30.12
195,-565.4000000000001,0,0,28,0.5566162367776242,-542.052,64,0.64,30.16
196,-641.5000000000001,200,2,38,0.5549463880672914,-542.968,72,0.72,30.48
197,-626.7,0,0,26,0.5532815489030894,-543.9,64,0.64,29.88
198,-628.0,300,3,43,0.5516217042563801,-555.392,76,0.76,30.88
199,-562.8000000000001,400,4,42,0.549966839143611,-558.316,84,0.84,31.24
200,-592.7999999999998,0,0,33,0.5483169386261801,-558.1,84,0.84,31.52
201,-609.4000000000002,0,0,28,0.5466719878103016,-557.384,80,0.8,31.24
202,-603.7,100,1,37,0.5450319718468707,-562.516,84,0.84,31.44
203,-509.0,100,1,34,0.5433968759313301,-559.788,88,0.88,31.84
204,-558.1,200,2,37,0.5417666853035361,-561.144,92,0.92,32.16
205,-466.9,100,1,36,0.5401413852476254,-557.156,92,0.92,32.24
206,-568.4000000000001,500,5,45,0.5385209610918825,-556.0360000000001,112,1.12,32.84
207,-463.90000000000003,0,0,23,0.5369053982086068,-553.956,104,1.04,32.52
208,-643.1999999999999,0,0,26,0.535294682013981,-555.196,100,1,32.16
209,-566.1999999999998,0,0,35,0.5336887979679391,-555.816,96,0.96,32.32
210,-615.1,0,0,33,0.5320877315740353,-561.876,92,0.92,32.24
211,-604.9999999999999,100,1,39,0.5304914683793133,-566.636,96,0.96,32.6
212,-540.7,300,3,42,0.5288999939741753,-568.604,104,1.04,33
213,-517.2,0,0,22,0.5273132939922528,-566.528,104,1.04,32.92
214,-505.70000000000016,100,1,32,0.525731354110276,-564.112,108,1.08,32.92
215,-545.5,200,2,34,0.5241541600479452,-562.5840000000001,116,1.16,33.08
216,-542.4000000000001,0,0,31,0.5225816975678014,-566.144,116,1.16,33.2
217,-557.5,0,0,31,0.521013952475098,-567.272,104,1.04,33.2
218,-491.6,0,0,27,0.5194509106176727,-562.904,104,1.04,33.2
219,-571.8,200,2,39,0.5178925578858197,-563.94,112,1.12,33.64
220,-546.5000000000001,0,0,35,0.5163388802121622,-563.184,112,1.12,33.92
221,-446.8,0,0,19,0.5147898635715258,-555.3960000000001,104,1.04,33.16
222,-592.5999999999999,0,0,33,0.5132454939808112,-554.032,104,1.04,33.44
223,-543.6,100,1,35,0.5117057574988688,-550.6560000000001,96,0.96,33.12
224,-512.9000000000001,0,0,31,0.5101706402263723,-548.66,80,0.8,32.68
225,-341.30000000000007,0,0,24,0.5086401283056932,-538.6,80,0.8,32.32
226,-514.4,100,1,37,0.5071142079207761,-534.8000000000001,84,0.84,32.68
227,-454.7,0,0,28,0.5055928652970137,-528.84,80,0.8,32.32
228,-370.6000000000001,0,0,22,0.5040760867011227,-523.304,76,0.76,31.84
229,-568.8000000000001,0,0,29,0.5025638584410194,-523.732,68,0.68,31.52
230,-543.9000000000001,100,1,33,0.5010561668656963,-526.812,68,0.68,31.4
231,-528.6,200,2,38,0.49955299836509925,-525.22,56,0.56,31.12
232,-614.1999999999998,100,1,33,0.49805433937000393,-531.232,60,0.6,31.52
233,-519.1999999999999,100,1,32,0.4965601763518939,-526.272,64,0.64,31.76
234,-530.8000000000001,0,0,22,0.49507049582283824,-524.856,64,0.64,31.24
235,-486.5,300,3,38,0.49358528433536975,-519.712,76,0.76,31.44
236,-540.1,100,1,33,0.49210452848236363,-517.116,76,0.76,31.2
237,-613.6999999999999,0,0,29,0.49062821489691655,-520.0360000000001,64,0.64,30.68
238,-516.1999999999999,100,1,29,0.4891563302522258,-519.996,68,0.68,30.96
239,-606.2999999999998,0,0,33,0.48768886126146915,-524.02,64,0.64,31
240,-439.7,0,0,26,0.48622579467768473,-519.788,56,0.56,30.68
241,-559.6999999999998,200,2,40,0.4847671172936517,-520.48,64,0.64,31.04
242,-632.3000000000001,0,0,33,0.4833128159417707,-523.472,64,0.64,31.12
243,-590.4,700,7,52,0.4818628774939454,-527.424,92,0.92,32.12
244,-559.7000000000002,0,0,30,0.48041728886146357,-526.94,84,0.84,31.76
245,-574.3,200,2,39,0.4789760369948792,-528.052,92,0.92,31.92
246,-584.1999999999999,200,2,39,0.47753910888389456,-533.548,100,1,32.72
247,-637.0999999999998,200,2,39,0.4761064915572429,-535.328,108,1.08,32.96
248,-539.3000000000001,300,3,42,0.4746781720825711,-535.156,116,1.16,33.24
249,-574.9,0,0,23,0.4732541375663234,-537.636,116,1.16,32.92
250,-582.0,0,0,32,0.4718343751536244,-547.264,116,1.16,33.24
251,-623.1,100,1,35,0.47041887202816357,-551.612,116,1.16,33.16
252,-525.8,0,0,34,0.4690076154120791,-554.456,116,1.16,33.4
253,-597.0999999999999,0,0,31,0.46760059256584285,-563.516,116,1.16,33.76
254,-630.3000000000001,0,0,33,0.4661977907881453,-565.976,116,1.16,33.92
255,-582.2,100,1,31,0.4647991974157809,-567.5079999999999,116,1.16,33.84
256,-508.10000000000014,100,1,31,0.46340479982353355,-566.688,112,1.12,33.56
257,-590.0,100,1,35,0.46201458542406293,-565.72,112,1.12,33.64
258,-442.4,0,0,29,0.4606285416677907,-562.648,108,1.08,33.52
259,-605.1,100,1,36,0.45924665604278736,-565.62,112,1.12,34.08
260,-573.8,200,2,34,0.457868916074659,-569.112,108,1.08,33.92
261,-568.6999999999999,100,1,35,0.45649530932643506,-570.256,108,1.08,34
262,-536.9999999999999,100,1,33,0.45512582339845575,-567.188,112,1.12,34.16
263,-534.3,100,1,32,0.45376044592826037,-567.912,112,1.12,34.28
264,-433.59999999999997,600,6,44,0.4523991645904756,-561.004,136,1.36,34.72
265,-496.79999999999995,400,4,45,0.45104196709670413,-563.288,152,1.52,35.48
266,-593.0999999999999,300,3,43,0.449688841195414,-564.624,156,1.56,35.6
267,-689.9000000000001,100,1,37,0.4483397746718278,-566.928,160,1.6,35.76
268,-504.09999999999997,500,3,43,0.4469947553478123,-563.476,152,1.44,35.4
269,-511.9,200,2,39,0.44565377108176885,-561.564,160,1.52,35.76
270,-376.1,100,1,29,0.44431680976852356,-553.636,156,1.48,35.36
271,-505.9,0,0,30,0.44298385933921797,-550.504,148,1.4,35
272,-485.49999999999994,300,3,38,0.4416549077612003,-544.4399999999999,152,1.44,34.96
273,-616.4000000000001,100,1,39,0.4403299430379167,-547.524,144,1.36,34.84
274,-464.2,0,0,26,0.43900895320880295,-543.096,144,1.36,34.96
275,-583.6999999999999,0,0,29,0.43769192634917653,-543.164,144,1.36,34.84
276,-583.6,0,0,31,0.436378850570129,-541.584,140,1.32,34.68
277,-478.4,400,4,41,0.4350697140184186,-539.688,156,1.48,34.96
278,-594.3000000000001,700,7,52,0.43376450487636337,-539.576,184,1.76,35.8
279,-539.0,100,1,38,0.43246321136173427,-535.924,188,1.8,36
280,-612.6,0,0,33,0.43116582172764906,-537.14,184,1.76,36.08
281,-503.09999999999997,0,0,26,0.42987232426246613,-536.9399999999999,180,1.72,35.88
282,-558.6999999999998,300,3,40,0.42858270728967873,-535.688,188,1.8,36.08
283,-520.6,0,0,33,0.4272969591678097,-538.816,188,1.8,36.24
284,-508.2999999999999,0,0,31,0.4260150682903063,-534.944,184,1.76,36.04
285,-485.8,900,5,41,0.4247370230854354,-531.424,212,1.88,36.32
286,-554.1,100,1,37,0.4234628120161791,-530.84,212,1.88,36.4
287,-529.3,700,5,46,0.42219242358013054,-530.5319999999999,236,2.04,36.92
288,-618.6,0,0,32,0.4209258463093902,-533.904,232,2,36.92
289,-572.4999999999999,0,0,30,0.419663068770462,-539.46,208,1.76,36.36
290,-599.7,300,3,39,0.4184040795641506,-543.576,204,1.72,36.12
291,-533.8999999999999,0,0,29,0.41714886732545814,-541.208,192,1.6,35.56
292,-573.7,0,0,34,0.41589742072348174,-536.56,188,1.56,35.44
293,-579.3000000000001,0,0,29,0.4146497284613113,-539.568,168,1.44,34.88
294,-603.6,100,1,36,0.41340577927592737,-543.236,164,1.4,34.76
295,-526.4999999999999,100,1,35,0.41216556193809956,-549.252,164,1.4,35
296,-592.0999999999999,200,2,42,0.41092906525228523,-552.6999999999999,172,1.48,35.48
297,-529.7,0,0,32,0.40969627805652836,-554.468,160,1.36,35.24
298,-510.0,200,2,32,0.40846718922235875,-550.212,164,1.4,34.96
299,-574.4999999999999,0,0,31,0.40724178765469166,-554.624,164,1.4,35.16
300,-607.2,0,0,26,0.4060200622917276,-555.564,164,1.4,35.04
301,-566.8000000000001,100,1,32,0.4048020021048524,-554.8919999999999,168,1.44,35.08
302,-623.2000000000002,400,4,44,0.40358759609853784,-560.684,168,1.44,35.2
303,-651.6999999999999,500,5,48,0.4023768333102422,-562.98,160,1.36,35.04
304,-507.50000000000006,0,0,35,0.4011697028103115,-561.72,156,1.32,34.92
305,-475.7,400,2,33,0.3999661937018806,-556.244,172,1.4,34.92
306,-431.90000000000003,300,3,40,0.39876629512077494,-553.396,184,1.52,35.48
307,-628.9999999999999,0,0,34,0.3975699962354126,-556.208,172,1.4,35.24
308,-643.0000000000001,0,0,33,0.3963772862467064,-561.104,172,1.4,35.24
309,-548.4,0,0,27,0.39518815438796623,-562.708,172,1.4,35.08
310,-637.0,300,3,43,0.3940025899248023,-568.756,148,1.32,35.16
311,-486.99999999999994,200,2,39,0.3928205821550279,-566.072,152,1.36,35.24
312,-512.4,600,4,38,0.39164212040856283,-565.396,148,1.32,34.92
313,-533.2,0,0,30,0.39046719404733715,-561.98,148,1.32,34.84
314,-403.90000000000003,0,0,29,0.38929579246519513,-555.236,148,1.32,34.8
315,-701.5999999999999,500,5,45,0.38812790508779954,-559.312,156,1.4,35.04
316,-603.1000000000001,100,1,39,0.38696352137253615,-562.08,160,1.44,35.44
317,-662.5000000000001,0,0,27,0.38580263080841853,-565.6320000000001,160,1.44,35.16
318,-474.09999999999997,500,5,46,0.3846452229159933,-561.424,180,1.64,35.84
319,-566.4,400,2,37,0.3834912872472453,-559.936,192,1.68,35.88
320,-517.7,300,3,38,0.3823408133855036,-559.5840000000001,200,1.76,36
321,-473.5000000000001,0,0,33,0.38119379094534706,-554.84,192,1.68,35.64
322,-603.1000000000001,0,0,31,0.380050209572511,-557.7760000000001,192,1.68,35.6
323,-525.5,400,4,40,0.3789100589437935,-558.3960000000001,200,1.76,35.92
324,-429.09999999999997,200,2,40,0.3777733287669621,-552.58,208,1.84,36.28
325,-745.4000000000001,400,4,45,0.37664000878066123,-558.1080000000001,224,2,37.04
326,-598.5,300,3,40,0.37551008875431924,-559.376,232,2.08,37.36
327,-536.0,100,1,36,0.37438355848805627,-555.888,220,1.96,37.04
328,-530.9999999999999,0,0,37,0.3732604078125921,-551.0600000000001,200,1.76,36.6
329,-461.80000000000007,200,2,35,0.37214062658915437,-549.232,208,1.84,36.6
330,-455.9000000000001,300,3,37,0.3710242047093869,-548.44,204,1.88,36.76
331,-584.8,100,1,34,0.3699111320952587,-554.556,196,1.8,36.52
332,-546.1,900,9,61,0.36880139869897294,-551.24,232,2.16,37.6
333,-524.8,100,1,38,0.367694994502876,-546.5120000000001,236,2.2,37.8
334,-446.80000000000007,0,0,30,0.3665919095193674,-542.448,236,2.2,37.92
335,-682.2999999999998,500,5,45,0.36549213379080925,-544.26,244,2.28,38
336,-534.8,100,1,36,0.3643956573894368,-546.172,240,2.24,37.88
337,-453.7,0,0,29,0.3633024704172685,-543.8240000000001,216,2.08,37.52
338,-555.9000000000001,200,2,40,0.3622125630060167,-544.732,224,2.16,37.92
339,-416.29999999999995,0,0,18,0.3611259253169986,-545.2280000000001,224,2.16,37.48
340,-508.89999999999986,0,0,34,0.3600425475410476,-537.52,204,1.96,37.04
341,-387.6,0,0,27,0.3589624198984244,-528.9,200,1.92,36.56
342,-619.2,500,5,43,0.35788553263872913,-527.168,220,2.12,37.2
343,-373.6000000000001,500,5,39,0.35681187604081294,-523.148,220,2.12,36.92
344,-481.0,100,1,35,0.3557414404126905,-519.732,208,2.08,36.84
345,-484.0,200,2,40,0.35467421609145244,-518.384,204,2.04,36.92
346,-467.30000000000007,0,0,35,0.35361019344317807,-518.136,204,2.04,37
347,-409.79999999999995,100,1,26,0.35254936286284855,-510.404,208,2.08,36.8
348,-543.0999999999999,0,0,33,0.35149171477426,-511.108,192,1.92,36.52
349,-373.4000000000001,300,3,36,0.3504372396299372,-508.88,196,1.96,36.36
350,-470.69999999999993,500,5,45,0.3493859279110474,-497.892,200,2,36.36
351,-510.09999999999997,100,1,28,0.34833777012731426,-494.356,192,1.92,35.88
